dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Owners Association Service Charges,service_charges,7,master_community_name_en,91193,0,0.0,60,5,31,True,nvarchar,False
Owners Association Service Charges,service_charges,8,project_id,91193,8,0.008773,688,1,9,True,numeric,True
Owners Association Service Charges,service_charges,9,project_name,91193,8,0.008773,644,2,58,True,nvarchar,False
Owners Association Service Charges,service_charges,10,property_group_id,91193,0,0.0,2088,6,9,True,numeric,True
Owners Association Service Charges,service_charges,11,property_group_name_ar,91193,0,0.0,2308,2,90,True,nvarchar,False
Owners Association Service Charges,service_charges,12,property_group_name_en,91193,0,0.0,2087,2,100,True,nvarchar,False
Owners Association Service Charges,service_charges,13,service_category_id,91193,0,0.0,17,1,5,True,numeric,True
Owners Association Service Charges,service_charges,14,service_category_name_ar,91193,0,0.0,17,5,22,True,nvarchar,False
Owners Association Service Charges,service_charges,15,service_category_name_en,91193,0,0.0,17,6,23,True,nvarchar,False
Owners Association Service Charges,service_charges,16,service_cost,91193,0,0.0,557,1,5,True,numeric,False
Owners Association Service Charges,service_charges,17,usage_id,91193,0,0.0,15,1,2,True,numeric,True
Owners Association Service Charges,service_charges,18,usage_name_ar,91193,0,0.0,14,5,18,True,nvarchar,False
Owners Association Service Charges,service_charges,19,usage_name_en,91193,0,0.0,17,5,18,True,nvarchar,False
Owners Association Service Charges,service_charges,20,load_timestamp,91193,0,0.0,1,23,23,False,,False
Property Map Requests,map_requests,1,application_id,1021252,0,0.0,7,1,2,True,number,False
Property Map Requests,map_requests,2,application_name_ar,1021252,0,0.0,7,5,23,True,nvarchar,False
Property Map Requests,map_requests,3,application_name_en,1021252,0,0.0,9,2,19,True,nvarchar,False
Property Map Requests,map_requests,4,no_of_siteplans,1021252,42,0.004113,267,1,4,True,number,False
Property Map Requests,map_requests,5,procedure_id,1021252,0,0.0,81,1,3,True,number,False
Property Map Requests,map_requests,6,procedure_name_ar,1021252,0,0.0,85,3,41,True,nvarchar,False
Property Map Requests,map_requests,7,procedure_name_en,1021252,0,0.0,74,4,49,True,nvarchar,False
Property Map Requests,map_requests,8,property_type_ar,1021252,0,0.0,2,3,4,True,nvarchar,False
Property Map Requests,map_requests,9,property_type_en,1021252,0,0.0,3,4,8,True,nvarchar,False
Property Map Requests,map_requests,10,property_type_id,1021252,0,0.0,3,1,1,True,number,False
Property Map Requests,map_requests,11,request_date,1021252,0,0.0,5846,10,10,True,date,False
Property Map Requests,map_requests,12,request_id,1021252,0,0.0,1141536,6,11,True,nvarchar,True
Property Map Requests,map_requests,13,request_source_ar,1021252,50,0.004896,5,14,27,True,nvarchar,False
Property Map Requests,map_requests,14,request_source_en,1021252,50,0.004896,4,21,41,True,nvarchar,False
